archive,jitter_s,n_sibling,n_unrelated,sib_median,oth_median,phase_auc,auc_lo,auc_hi,mannwhitney_p,sib_q05,oth_q05,sib_q25,oth_q25,sib_q50,oth_q50,sib_q75,oth_q75,sib_q95,oth_q95
GridSybil_0709,0.0,692,25313,0.1666669105670735,0.24983748048180132,0.6372,0.6174,0.6582,2.897758914007542e-35,2.9324546630959973e-07,0.021711587574827718,2.859031610569218e-06,0.11997721049920074,0.1666669105670735,0.24983748048180132,0.33333248530971105,0.3763392183718679,0.33333450367326806,0.4751708435665932
GridSybil_0709,0.25,692,25242,0.13262992098680115,0.1481546563200027,0.562,0.5403,0.5834,1.2503582913551808e-08,0.006876041218674804,0.01806669535180845,0.05718955916063351,0.08188020274883456,0.13262992098680115,0.1481546563200027,0.19260497606910576,0.21469803802301612,0.27139462765990174,0.3035492571912982
GridSybil_1416,0.0,1759,27463,0.1666673157524201,0.2581008564447984,0.6336,0.6216,0.6457,2.4627046303699272e-79,3.376542736077681e-07,0.026077897935829243,0.16666173962221364,0.13122080627545074,0.1666673157524201,0.2581008564447984,0.33333262215091963,0.3819989966123103,0.3333352925583313,0.475392755924986
GridSybil_1416,0.25,1756,27349,0.13484867594161187,0.15541413006576477,0.5756,0.5621,0.5894,1.0277781350376648e-26,0.009369196060106333,0.01879908713817713,0.06282743681913416,0.0888186674201279,0.13484867594161187,0.15541413006576477,0.19121852353055147,0.22276107154175406,0.27346012801899633,0.32143171978386814
DoSRandomSybil_0709,0.0,103,1641,2.8406466299202293e-06,0.2496930558772874,0.8544,0.781,0.9216,6.6210045008473785e-34,2.1429514163173735e-08,0.028943048466317123,1.726761183817871e-06,0.12072556535349577,2.8406466299202293e-06,0.2496930558772874,5.634761691908352e-06,0.3696492768358439,0.4999964213351632,0.4706360560412577
DoSRandomSybil_0709,0.25,96,1589,0.11602960297568643,0.1504482247710257,0.5834,0.52,0.6444,0.003000794410643201,0.005520032170807099,0.01663015118756448,0.04815861094311913,0.07405868907517288,0.11602960297568643,0.1504482247710257,0.1961057314347272,0.25714797055115923,0.3463239428365341,0.38107511287307716
DoSRandomSybil_1416,0.0,174,1720,3.01251930068247e-06,0.24478294205255224,0.8161,0.7531,0.8671,2.2006184462147316e-43,8.198967407224702e-08,0.031207179693956276,1.4506440493278205e-06,0.13727617428412486,3.01251930068247e-06,0.24478294205255224,6.902322638779879e-06,0.358302151238604,0.49999685467737437,0.47238412195874846
DoSRandomSybil_1416,0.25,165,1672,0.12202999644068768,0.14989500985029736,0.551,0.5037,0.6003,0.015164037946826412,0.011217190122988541,0.014642300807827269,0.05630947977624601,0.07392556767899805,0.12202999644068768,0.14989500985029736,0.2062983075666125,0.24425285341931158,0.3761818786952062,0.3797993900676374
DoSDisruptiveSybil_0709,0.0,114,1516,2.6763791538542137e-06,0.25323058292815404,0.8772,0.8141,0.9339,1.5370051575199559e-41,4.269113560440019e-08,0.030111513824522262,1.6142503227456473e-06,0.13157901583599596,2.6763791538542137e-06,0.25323058292815404,5.099648660689127e-06,0.38271940271079075,0.49999549974654656,0.4706915613896854
DoSDisruptiveSybil_0709,0.25,115,1485,0.11108159641298698,0.15793080913135782,0.5742,0.5194,0.629,0.003977915550487756,0.011939268653077307,0.01663413005080656,0.04783170449627505,0.0822397819647449,0.11108159641298698,0.15793080913135782,0.22399060464158538,0.2500621222461632,0.3532485026373251,0.3871815569364116
DoSDisruptiveSybil_1416,0.0,166,1548,3.1238814699463546e-06,0.2582470681263658,0.8072,0.7451,0.8667,4.2740878906593946e-39,7.106791599653661e-09,0.028083596303258677,1.207811692438554e-06,0.1427792915092141,3.1238814699463546e-06,0.2582470681263658,5.76785078010289e-06,0.3655857298326737,0.49999725994894106,0.4719140369092201
DoSDisruptiveSybil_1416,0.25,162,1456,0.13611918332753703,0.15563708459376357,0.5559,0.5074,0.603,0.009710236659435925,0.006496219843393193,0.015948188709444366,0.05823361299917451,0.07877456839105434,0.13611918332753703,0.15563708459376357,0.20982896541136142,0.24856001565603947,0.3915839278477506,0.3906276978996175
