msgs_per_id,identities,detection_auc,detection_pos,tracking_auc,tracking_pos,archive,vantage,seed,site
11.0,106,0.6450492831541219,144,0.7020678087716772,534,GridSybil_1416,vehicle,0,6519.0
10.0,62,0.5274064171122994,77,0.6033705793413726,345,GridSybil_1416,vehicle,0,6819.0
14.0,59,0.5596019900497512,67,0.5585793650793651,350,GridSybil_1416,vehicle,0,117.0
8.0,67,0.6734625668449199,88,0.5700315840621963,343,GridSybil_1416,vehicle,0,7329.0
11.5,56,0.6029411764705882,34,0.6398001679697307,369,GridSybil_1416,vehicle,0,6645.0
13.0,65,0.7729241338112306,72,0.6002457928814321,323,GridSybil_1416,vehicle,0,6045.0
19.0,53,0.582987382987383,105,0.6273862205432632,255,GridSybil_1416,vehicle,0,1179.0
10.0,59,0.508832939212686,79,0.5988587159120236,258,GridSybil_1416,vehicle,0,1725.0
12.0,50,0.4843260188087774,58,0.5823368008442635,495,GridSybil_1416,vehicle,0,8241.0
18.0,54,0.5774621212121213,96,0.6883913117671436,254,GridSybil_1416,vehicle,0,789.0
9.0,65,0.5267573696145125,120,0.5598483178630616,266,GridSybil_1416,vehicle,0,1707.0
12.5,60,0.5110518292682926,82,0.6338114040181164,316,GridSybil_1416,vehicle,0,7407.0
26.0,6135,0.7045402029526959,472,0.8016400476845282,645,GridSybil_1416,global,0,
17.0,1880,0.7004800522340686,1666,0.7747894169741297,1496,GridSybil_1416,rsu,0,0.0
13.0,2398,0.6786632459682865,1605,0.8022938307654265,1269,GridSybil_1416,rsu,0,1.0
17.0,1596,0.6976891378498051,1746,0.8475292432761169,1199,GridSybil_1416,rsu,0,2.0
13.0,1154,0.6801909574574451,1255,0.7709800400768116,904,GridSybil_1416,rsu,0,3.0
83.0,1,,0,,0,GridSybil_1416,rsu,0,4.0
11.0,106,0.6450492831541219,144,0.6959507072220048,539,GridSybil_1416,vehicle,1,6519.0
10.0,62,0.5274064171122994,77,0.5887325171016513,354,GridSybil_1416,vehicle,1,6819.0
14.0,59,0.5596019900497512,67,0.5796464108031272,336,GridSybil_1416,vehicle,1,117.0
8.0,67,0.6734625668449199,88,0.5719435431537963,335,GridSybil_1416,vehicle,1,7329.0
11.5,56,0.6029411764705882,34,0.6313198796582846,373,GridSybil_1416,vehicle,1,6645.0
13.0,65,0.7729241338112306,72,0.6045579058389242,319,GridSybil_1416,vehicle,1,6045.0
19.0,53,0.582987382987383,105,0.6226108414418807,243,GridSybil_1416,vehicle,1,1179.0
10.0,59,0.508832939212686,79,0.6110724618211653,257,GridSybil_1416,vehicle,1,1725.0
12.0,50,0.4843260188087774,58,0.5831311957915265,493,GridSybil_1416,vehicle,1,8241.0
18.0,54,0.5774621212121213,96,0.7084134528171824,258,GridSybil_1416,vehicle,1,789.0
9.0,65,0.5267573696145125,120,0.5155077149756477,265,GridSybil_1416,vehicle,1,1707.0
12.5,60,0.5110518292682926,82,0.6357942866730987,310,GridSybil_1416,vehicle,1,7407.0
26.0,6135,0.710094776426347,465,0.8092790385430871,637,GridSybil_1416,global,1,
17.0,1880,0.696652730452916,1661,0.7739539271213608,1434,GridSybil_1416,rsu,1,0.0
13.0,2398,0.6791779612736873,1637,0.8042691695251724,1254,GridSybil_1416,rsu,1,1.0
17.0,1596,0.6976891378498051,1746,0.8387844040006841,1234,GridSybil_1416,rsu,1,2.0
13.0,1154,0.6801909574574451,1255,0.7707151949618115,878,GridSybil_1416,rsu,1,3.0
83.0,1,,0,,0,GridSybil_1416,rsu,1,4.0
11.0,106,0.6450492831541219,144,0.7048357351077024,532,GridSybil_1416,vehicle,2,6519.0
10.0,62,0.5274064171122994,77,0.5857391921042523,344,GridSybil_1416,vehicle,2,6819.0
14.0,59,0.5596019900497512,67,0.5760517022799714,343,GridSybil_1416,vehicle,2,117.0
8.0,67,0.6734625668449199,88,0.5688129818191385,328,GridSybil_1416,vehicle,2,7329.0
11.5,56,0.6029411764705882,34,0.6365070466604956,367,GridSybil_1416,vehicle,2,6645.0
13.0,65,0.7729241338112306,72,0.6069264542456869,321,GridSybil_1416,vehicle,2,6045.0
19.0,53,0.582987382987383,105,0.6455769774929451,229,GridSybil_1416,vehicle,2,1179.0
10.0,59,0.508832939212686,79,0.60349529309078,247,GridSybil_1416,vehicle,2,1725.0
12.0,50,0.4843260188087774,58,0.5760649087221096,493,GridSybil_1416,vehicle,2,8241.0
18.0,54,0.5774621212121213,96,0.7072160102909162,248,GridSybil_1416,vehicle,2,789.0
9.0,65,0.5267573696145125,120,0.546435649946019,271,GridSybil_1416,vehicle,2,1707.0
12.5,60,0.5110518292682926,82,0.6389532930107527,310,GridSybil_1416,vehicle,2,7407.0
26.0,6135,0.6953625293330373,455,0.8118763262596586,649,GridSybil_1416,global,2,
17.0,1880,0.7000518049590502,1667,0.7792487077732951,1439,GridSybil_1416,rsu,2,0.0
13.0,2398,0.6751299554068688,1537,0.8087160302759201,1263,GridSybil_1416,rsu,2,1.0
17.0,1596,0.6976891378498051,1746,0.8443795206716483,1247,GridSybil_1416,rsu,2,2.0
13.0,1154,0.6801909574574451,1255,0.7735603115801719,909,GridSybil_1416,rsu,2,3.0
83.0,1,,0,,0,GridSybil_1416,rsu,2,4.0
