archive,identities,vehicles,attacker_vehicles,prevalence_vehicles,attacker_frac_identities,benign_interval_med,attacker_interval_med,AUC_interval_alone,AUC_interval_lo,AUC_interval_hi,AUC_msgcount_alone,AUC_msgcount_lo,AUC_msgcount_hi
GridSybil_0709,1884,997,292,0.2929,0.6189,1.0,1.0,0.6569,0.6312,0.6818,0.6346,0.6077,0.6619
GridSybil_1416,1670,868,261,0.3007,0.6365,1.0,1.0,0.5761,0.5504,0.6035,0.6005,0.5719,0.6293
DataReplaySybil_0709,6093,988,297,0.3006,0.8866,1.0,1.0,0.5437,0.5308,0.5567,0.9958,0.9923,0.9985
DataReplaySybil_1416,5875,868,261,0.3007,0.8967,1.0,1.0,0.5344,0.5196,0.5492,0.9929,0.9886,0.9965
DoSRandomSybil_0709,16276,907,215,0.237,0.9575,1.0,50.0,1.0,1.0,1.0,0.9958,0.9918,0.9989
DoSRandomSybil_1416,14888,805,198,0.246,0.9592,1.0,50.0,1.0,1.0,1.0,0.9935,0.9887,0.9974
DoSDisruptiveSybil_0709,16277,907,215,0.237,0.9575,1.0,50.0,0.9999,0.9998,1.0,0.9958,0.9916,0.9989
DoSDisruptiveSybil_1416,14890,809,202,0.2497,0.9592,1.0,50.0,0.9996,0.9994,0.9999,0.9935,0.9888,0.9973
