archive,tau_s,tracking_auc,tracking_sd,tracking_pos,detection_auc,detection_sd,detection_pos
GridSybil_1416,15,0.9399,0.0307,52,0.9126,0.0066,651
GridSybil_1416,30,0.8577,0.0,55,0.9467,0.0255,821
GridSybil_1416,60,0.9318,0.0581,55,0.9543,0.0091,857
GridSybil_1416,120,,,0,0.9735,0.0072,970
